District,ToiletCoverage,OpenDefecation,IMR,ADDCases,Literacy,UrbanRatio
Ariyalur,91,8,10.6,270,86,79
Chengalpattu,72,19,10.5,375,90,58
Chennai,77,23,13.0,315,76,63
Coimbatore,74,26,12.0,364,81,51
Cuddalore,80,14,12.3,260,94,81
Dharmapuri,73,20,11.0,332,72,74
Dindigul,78,18,10.5,297,79,83
Erode,81,16,9.1,298,95,72
Kallakurichi,92,8,10.1,236,84,24
Kancheepuram,76,20,10.1,365,79,26
Karur,89,4,10.1,304,93,55
Krishnagiri,85,5,10.3,242,74,94
Madurai,93,1,7.1,243,76,43
Mayiladuthurai,89,4,7.2,257,70,47
Nagapattinam,78,22,12.8,304,72,21
Namakkal,89,9,10.5,289,84,25
Nilgiris,95,1,7.3,218,79,55
Perambalur,79,13,12.6,344,91,20
Pudukkottai,73,23,12.3,347,95,79
Ramanathapuram,84,9,8.7,309,76,45
Ranipet,85,7,9.8,310,91,29
Salem,80,14,12.4,254,71,49
Sivaganga,98,1,5.9,253,86,55
Tenkasi,83,8,8.3,256,95,67
Thanjavur,88,9,10.4,300,73,39
Theni,92,8,7.2,290,82,47
Thoothukudi,97,1,6.7,207,76,77
Tiruchirappalli,99,1,7.1,228,77,85
Tirunelveli,94,1,9.8,217,81,49
Tirupathur,96,1,7.5,190,88,39
Tiruppur,94,2,8.3,199,94,30
Tiruvallur,82,11,11.6,322,71,61
Tiruvannamalai,81,10,9.5,315,78,76
Tiruvarur,84,10,9.3,287,73,31
Vellore,81,14,9.7,287,79,21
Viluppuram,74,21,11.9,326,73,30
Virudhunagar,93,1,9.9,278,80,30
Kanniyakumari,76,21,10.0,359,73,55
