ID,District,ToiletCoverage,OpenDefecation,Literacy,IncomeIndex,UrbanRatio,IMR,ADDCases
1,Salem,100,0,96,89,41,2.77,188
2,Kanniyakumari,93,0,84,70,77,7.03,178
3,Tiruvallur,92,5,88,76,26,6.72,191
4,Pudukkottai,91,0,80,90,49,8.2,215
5,Krishnagiri,91,0,91,75,98,4.32,213
6,Tiruvannamalai,88,11,79,99,57,5.88,245
7,Kanniyakumari,71,20,96,73,43,13.14,379
8,Pudukkottai,100,0,97,81,15,2.59,165
9,Sivaganga,75,13,74,100,62,13.45,324
10,Virudhunagar,100,0,68,75,55,7.41,123
11,Nilgiris,87,7,67,41,39,9.27,353
12,Vellore,90,0,77,80,94,7.51,323
13,Madurai,97,0,74,59,25,3.73,182
14,Kanniyakumari,71,27,75,42,94,10.8,308
15,Madurai,87,9,87,59,98,6.73,198
16,Krishnagiri,86,2,77,96,72,6.06,291
17,Nagapattinam,84,13,88,91,53,10.95,289
18,Thoothukudi,90,0,88,86,58,5.3,193
19,Tiruppur,91,5,78,87,44,9.35,187
20,Kancheepuram,87,12,97,88,50,6.94,351
21,Kancheepuram,74,12,94,63,90,10.51,347
22,Namakkal,77,11,68,83,76,9.75,316
23,Tirunelveli,93,0,82,92,63,5.47,190
24,Krishnagiri,87,6,96,55,45,6.0,198
25,Ariyalur,94,1,91,86,33,9.35,299
26,Tiruppur,81,10,74,83,47,6.66,293
27,Madurai,77,17,94,54,81,10.19,378
28,Thoothukudi,89,9,94,54,48,9.49,225
29,Nagapattinam,70,17,85,64,32,10.91,428
30,Dindigul,88,11,86,59,35,9.62,295
31,Namakkal,98,0,70,56,33,7.24,229
32,Perambalur,71,28,95,51,31,10.67,357
33,Dindigul,95,0,72,78,57,7.54,152
34,Pudukkottai,99,0,72,83,75,7.75,233
35,Tenkasi,70,25,69,63,27,9.2,367
36,Kancheepuram,76,19,73,80,30,11.6,366
37,Tenkasi,70,22,73,65,38,10.84,401
38,Tiruvallur,99,0,88,66,88,8.51,192
39,Nagapattinam,72,13,96,90,92,9.47,331
40,Thanjavur,100,0,80,55,72,8.58,133
41,Tiruvannamalai,96,0,78,65,45,5.91,259
42,Ariyalur,95,0,73,97,27,8.08,308
43,Tiruvarur,84,16,67,98,41,10.26,229
44,Namakkal,92,4,73,93,44,4.78,261
45,Ramanathapuram,91,2,80,82,54,4.69,217
46,Karur,81,18,87,80,55,10.54,337
47,Chengalpattu,83,7,92,99,52,11.06,376
48,Thanjavur,100,0,88,41,65,3.53,170
49,Thanjavur,72,20,71,79,36,13.26,337
50,Krishnagiri,90,2,72,45,45,7.21,274
51,Pudukkottai,88,0,80,52,97,10.48,304
52,Mayiladuthurai,98,0,74,54,81,5.35,161
53,Tiruvarur,95,5,91,65,50,6.76,303
54,Salem,100,0,90,92,30,5.55,249
55,Tiruppur,77,16,73,59,17,12.92,296
56,Tiruvallur,90,0,98,87,91,9.1,199
57,Tiruvarur,75,25,73,70,87,8.67,381
58,Erode,88,4,82,49,92,6.45,194
59,Tirupathur,80,17,77,74,32,8.39,252
60,Pudukkottai,100,0,91,55,36,3.52,201
61,Tenkasi,72,23,85,65,23,8.06,354
62,Salem,100,0,76,78,75,6.46,173
63,Kancheepuram,83,13,78,53,76,9.61,230
64,Mayiladuthurai,94,0,92,89,40,6.28,294
65,Thanjavur,97,2,76,95,74,4.85,177
66,Viluppuram,80,6,76,55,31,7.09,395
67,Dharmapuri,91,3,79,62,28,8.15,217
68,Coimbatore,84,4,77,79,32,6.62,316
69,Kallakurichi,87,11,98,71,33,7.04,244
70,Tenkasi,76,19,73,66,26,12.14,322
71,Thoothukudi,88,6,87,61,86,5.6,289
72,Chennai,72,24,86,41,41,10.12,387
73,Nagapattinam,85,6,71,43,16,5.94,215
74,Ranipet,86,5,72,61,47,7.93,291
75,Theni,86,5,89,42,95,5.47,205
76,Perambalur,98,0,84,79,42,3.73,262
77,Krishnagiri,72,21,84,49,96,13.09,343
78,Tenkasi,72,18,81,56,60,12.34,294
79,Virudhunagar,99,0,67,53,19,5.72,219
80,Tiruvarur,74,25,83,51,24,12.72,377
81,Perambalur,92,0,98,86,73,8.09,296
82,Mayiladuthurai,74,22,73,76,80,13.56,342
83,Nilgiris,77,11,68,93,74,11.1,301
84,Perambalur,88,0,76,61,48,9.46,198
85,Tiruvarur,74,18,65,52,51,12.53,310
86,Tenkasi,91,0,79,66,42,8.03,285
87,Ranipet,90,0,69,80,94,10.67,258
88,Tirupathur,91,9,77,58,61,6.41,197
89,Krishnagiri,88,9,90,65,51,6.47,335
90,Ranipet,75,23,81,61,98,13.07,335
91,Tiruppur,97,0,86,40,85,3.95,234
92,Ariyalur,98,0,97,69,48,6.38,223
93,Madurai,89,8,67,93,16,9.0,244
94,Krishnagiri,77,23,81,72,88,10.63,399
95,Kallakurichi,96,1,65,72,70,9.26,284
96,Virudhunagar,71,20,94,40,69,11.64,350
97,Nilgiris,72,23,68,78,69,9.56,371
98,Krishnagiri,92,4,81,44,21,5.88,315
99,Tiruvarur,95,0,87,57,88,5.48,261
100,Chengalpattu,79,13,94,68,76,10.31,390
101,Karur,71,21,74,51,91,12.1,398
102,Perambalur,82,12,90,97,55,6.25,322
103,Nilgiris,71,18,75,96,22,11.3,398
104,Krishnagiri,87,13,97,88,51,10.52,233
105,Madurai,70,30,84,75,55,9.33,422
106,Tenkasi,92,1,93,57,33,5.7,243
107,Pudukkottai,83,14,84,82,30,6.72,230
108,Nilgiris,92,8,83,64,29,8.28,169
109,Coimbatore,88,0,84,75,54,6.33,223
110,Ariyalur,91,2,72,50,77,8.9,282
111,Karur,77,14,77,86,87,8.16,364
112,Tenkasi,72,17,81,41,17,9.24,365
113,Thanjavur,86,3,90,46,68,10.81,356
114,Nagapattinam,89,3,72,76,48,9.82,282
115,Thoothukudi,83,10,83,64,74,9.74,352
116,Cuddalore,70,18,69,81,64,10.92,455
117,Kancheepuram,76,21,68,74,52,10.76,389
118,Ariyalur,91,4,80,58,69,6.35,324
119,Kanniyakumari,93,0,70,100,64,9.23,163
120,Kancheepuram,82,3,87,42,43,11.88,339
121,Mayiladuthurai,82,3,90,65,89,9.9,333
122,Sivaganga,75,19,69,86,59,10.36,328
123,Nagapattinam,80,5,92,97,42,6.41,291
124,Thanjavur,100,0,89,94,44,2.68,160
125,Tirunelveli,87,10,89,55,62,9.15,286
126,Tiruppur,83,9,86,76,66,11.56,294
127,Tirupathur,85,0,72,55,80,7.26,335
128,Theni,92,4,86,73,51,9.16,245
129,Erode,70,19,94,42,49,13.29,314
130,Theni,91,0,65,92,52,8.57,199
131,Sivaganga,75,14,97,93,66,12.93,304
132,Erode,77,13,95,83,71,8.59,405
133,Chengalpattu,72,26,90,48,24,8.72,422
134,Nilgiris,99,0,82,43,37,6.57,135
135,Cuddalore,85,12,98,63,44,10.49,337
136,Dindigul,70,15,93,95,19,11.82,332
137,Coimbatore,78,19,82,79,27,9.88,340
138,Pudukkottai,81,9,80,73,25,9.07,367
139,Namakkal,98,0,86,94,55,5.67,282
140,Nagapattinam,77,15,91,48,67,8.54,352
141,Madurai,92,0,92,98,92,4.51,244
142,Tiruvallur,98,0,88,61,59,4.0,137
143,Karur,73,22,98,57,36,12.44,297
144,Krishnagiri,78,22,91,68,84,9.19,262
145,Virudhunagar,84,16,84,78,64,6.43,320
146,Cuddalore,80,8,91,65,58,9.48,278
147,Ramanathapuram,77,20,69,82,68,8.38,323
148,Perambalur,88,1,77,70,90,10.45,267
